polymer conc,Rejection,polymer conc,Resistancce,polymer conc,poresize
0.089261575,92.00050201,-0.18682643,20.12984467,0.209195515,11.53699396
0.121948669,91.98226766,-0.131522257,20.03344341,0.270757278,11.55431604
0.324535563,91.94700961,-0.076218084,19.95310064,0.320007107,11.56586293
0.42582901,91.92938059,-0.048565998,19.88884153,0.393882897,11.57740632
0.560886939,91.8940703,0.006738175,19.82455725,0.430818698,11.59473189
0.797238315,91.84113099,0.034390262,19.76029813,0.480066434,11.61783266
0.999825208,91.80587293,0.089694435,19.69601385,0.553942224,11.62937605
1.202412102,91.77061488,0.129403556,19.63008147,0.632411425,11.64528894
1.371234513,91.71762333,0.186070237,19.57518285,0.704509906,11.66219281
1.506292442,91.70002042,0.20495913,19.52031861,0.830684547,11.67908901
1.708879335,91.66476237,0.233948772,19.47242694,0.910446512,11.69053801
1.843937264,91.62945209,0.279767688,19.37925525,0.965475876,11.70343994
1.945230711,91.61182306,0.325586605,19.31269212,1.02050641,11.709887
2.147817605,91.57656501,0.348496063,19.24614985,1.075534606,11.7292438
2.286466014,91.54851086,0.371405521,19.16630329,1.158079822,11.74214182
2.449518344,91.52013337,0.440133895,19.07311074,1.240626208,11.74858497
2.585395286,91.49173486,0.485952811,18.99324333,1.389351743,11.77026882
2.69409684,91.46331533,0.485952811,18.91341763,1.491577637,11.78624203
2.802798393,91.4491476,0.554681186,18.8069208,1.593800634,11.81820296
2.938675335,91.42074909,0.570475338,18.74561412,1.696026528,11.83417616
3.0202015,91.40656035,0.61624062,18.67066211,1.832328685,11.85014453
3.101727665,91.3781198,0.666523735,18.609136,1.934554578,11.86611773
3.237604607,91.34972129,0.703579492,18.55530349,2.036777575,11.89807866
3.373481548,91.33557458,0.703579492,18.50150472,2.173079733,11.91404703
3.482183102,91.30715505,0.740635248,18.43691246,2.30938189,11.9300154
3.618060044,91.27875654,0.777691005,18.3723202,2.479757413,11.96196665
3.726761597,91.25033701,0.814746761,18.29696818,2.61605957,11.97793501
3.835463151,91.23616928,0.851802518,18.20009666,2.684209201,11.99391306
3.951153344,91.22136905,0.888858274,18.1355044,2.786435094,12.00988626
4.022722586,91.19640199,0.907386153,18.07092901,2.922737251,12.02585463
4.165861068,91.17149029,0.944441909,18.0170965,3.059036512,12.05781072
4.237430309,91.15903444,0.981497666,17.963264,3.229412036,12.08976197
4.380568792,91.12161153,1.000025544,17.92020811,3.299875601,12.098282
4.547563688,91.10922949,1.018553422,17.84487296,3.441032302,12.11150761
4.714558584,91.04680261,1.055609179,17.76952095,3.553954782,12.13798289
4.88155348,90.99688695,1.111192814,17.70491182,3.723340902,12.16445015
5.024691962,90.97197524,1.14824857,17.61880006,3.864497602,12.17767576
5.167830445,90.8970187,1.166776448,17.54346491,4.005651902,12.20414703
5.358681755,90.84712149,1.203832205,17.45735314,4.146808603,12.21737264
5.525676651,90.7721834,1.240887961,17.37124137,4.216814788,12.23495978
5.692671547,90.72226773,1.277943718,17.30664911,4.400676032,12.27806704
5.835810029,90.67233361,1.333527353,17.20976072,4.584542486,12.29241871
5.955092098,90.60986983,1.370583109,17.12364895,4.799045968,12.3498994
6.122086994,90.55995416,1.407638866,17.05905669,5.013552055,12.3930023
6.217512649,90.49747192,1.426166744,16.98372154,5.197410695,12.45048734
6.312938304,90.4475009,1.463222501,16.92988904,5.319984857,12.47922551
6.503789614,90.38509247,1.500278257,16.86529678,5.442556415,12.52234146
6.646928096,90.32264714,1.518806135,16.80072138,5.657062503,12.56544436
6.766210165,90.28520578,1.537334014,16.74690574,5.840921142,12.6229294
6.909348647,90.24778287,1.555861892,16.6930901,5.994134938,12.6804188
7.076343543,90.17284478,1.592917648,16.62849784,6.177996182,12.72352605
7.243338439,90.1104179,1.611445527,16.56392245,6.331215188,12.75225987
7.362620508,90.03544291,1.611445527,16.51012368,6.484428984,12.80974926
7.553471818,89.97303448,1.667029162,16.46703406,6.607000542,12.85286522
7.720466714,89.8980964,1.68555704,16.39169891,6.790859181,12.91035026
7.839748782,89.87316624,1.704084918,16.34864303,6.974720426,12.95345751
7.959030851,89.81070246,1.741140675,16.30557028,7.158579065,13.01094255
8.102169333,89.76076834,1.759668553,16.24099488,7.40372739,13.06841889
8.245307816,89.69832301,1.796724309,16.17640262,7.49565671,13.09716141
8.364589884,89.63585922,1.815252188,16.11182723,7.679515349,13.15464645
8.531584781,89.57343235,1.833780066,16.0795311,7.924663675,13.21212278
8.698579677,89.49849426,1.852307944,16.02571546,8.108522314,13.26960782
8.889430986,89.43608583,1.870835822,15.97189982,8.334801703,13.32135822
9.10413871,89.37369586,1.907891579,15.91806732,8.553578491,13.40116709
9.271133606,89.31126899,1.926419457,15.87501143,8.675122987,13.43536694
9.438128502,89.22381969,1.963475214,15.81041917,8.845287762,13.46955988
9.628979812,89.13638884,1.982003092,15.74584378,8.991140331,13.51516199
9.772118294,89.07394351,1.982003092,15.67052549,9.136992901,13.56076409
9.939113191,88.99900543,2.019058849,15.62745274,9.258539464,13.58355824
